Date,Daily temperature,Daily specific humidity,Daily wind velocity,Daily AQI,Travel index,mu,alpha,R0
2020-01-25,305.46248314354824,0.0018818388730066282,1.868503211765884,193,1.8254,0.008823529411764706,0.3220524784047609,36.499280885872906
2020-01-26,305.78060177838915,0.0019706500342506323,1.716089079642624,202,1.6544,0.0140183346065699,0.2233511558234435,15.932788172909405
2020-01-27,307.08109153494996,0.0020631518465825034,1.2220816071231015,208,1.4808,0.0140183346065699,0.2490619297198905,17.766870081925703
2020-01-28,306.54849925068453,0.002210288114304116,1.3504627332080943,221,1.386,0.015853196991891003,0.1503820596699468,9.485913771642913
2020-01-29,307.3879152938992,0.0020433021123359802,2.287890768745839,94,1.4498,0.007029667580126296,0.1531833021739709,21.790973816036228
2020-01-30,306.3974836456218,0.0017667552046648023,2.622004413060976,64,1.3431,0.007168195718654434,0.1606120282421181,22.406200185653844
2020-01-31,307.86975354001044,0.0017447198416516525,3.4553565974252787,62,1.5133,0.010636403811139979,0.1406497265809726,13.223428621021693
2020-02-01,303.6972928256756,0.0010918884373351517,3.837161912588828,36,1.4764,0.01985681780772843,0.1237025891211253,6.229728767163251
2020-02-02,301.7790501259556,0.001738958798112864,3.806064810433501,45,1.3508,0.02083720996459117,0.1101171809361355,5.284641327858118
2020-02-03,300.93273524171053,0.001059450744444662,3.7853618943472553,34,1.8071,0.021644227508450832,0.0925381892020192,4.275421202530252
2020-02-04,299.9518352369828,0.0008551047513830574,4.073184402924331,34,1.6746,0.01982891197794875,0.07802039906078842,3.9346787734774864
2020-02-05,295.32718146726984,0.0011502670862260124,3.4369497575054244,38,1.5630000000000002,0.01029454814356772,0.07562824045660223,7.3464361331737065
2020-02-06,296.9554093375927,0.0018058071016949985,3.0198318934372863,62,1.4363,0.01146469362111357,0.05900359704579676,5.146548088920122
2020-02-07,303.4389358718085,0.0017174810827659474,2.5531581272157635,97,1.6097,0.0102023915244084,0.04824794926975999,4.729082309214528
2020-02-08,306.1872403986436,0.001443383997916533,3.2187784169606672,82,1.3753,0.01198592507926341,0.03267592285557699,2.726191148325205
2020-02-09,310.266361224297,0.0020183246623587093,3.358374428781076,160,1.3557,0.01596329431867647,0.02586048253192292,1.6199966006807944
2020-02-10,313.85999938879917,0.0023156023515508964,2.1980812925851976,163,2.2462,0.02200388296413135,0.02753153272602821,1.2512124687677857
2020-02-11,313.67213182625625,0.003373630469228025,2.37043930061666,232,2.0881,0.02458346130228762,0.02393377720436441,0.973572309857654
2020-02-12,314.3932747812962,0.004231904113195421,2.058679413891569,257,2.0954,0.0342504834613112,0.02256629856867628,0.6588607309490043
2020-02-13,314.18084041823806,0.004896312348274846,2.8329638122985124,247,2.1563,0.03459161773276377,0.01934303577733605,0.5591827455648342
2020-02-14,303.5588005369135,0.002795017430194813,6.287849544274813,69,1.863,0.03304255787356451,0.010524585988634271,0.3185160794423363
2020-02-15,297.99117608352316,0.0009078907922434867,8.037684278841441,35,1.3779,0.03166858094503451,0.01101953861071114,0.34796439505253396
2020-02-16,299.9960789174064,0.0009029258488812348,7.765837062460678,37,1.4317,0.03618965374196937,0.01354832112596767,0.3743700125612309
2020-02-17,305.3465133497709,0.0012909091054068413,5.517283438763673,36,2.4975,0.036907614732755535,0.01153799671678692,0.3126183255225902
